Exp,Rep,Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Oil,Surfactant,Cosurfactant,API_Name,Droplet_Size,PDI,Zeta_P,Phase_Sep,Drug_Loading,Permeability
D3,1,7.875,10.5,29.5,0.825,Capryol_90,Tween_80,Tween_80,blank,13.24,0.117,-2.43,0,,
D4,1,7.575,20.2,19.8,0.975,Capryol_90,Tween_80,Transcutol_HP,blank,63.8,0.545,-2.22,0,,
D5,1,7.5,12.5,27.5,1.725,Maisine_Oil,Tween_80,Propylene_Glycol,blank,133.6,0.295,-2.43,0,,
D1,2,10.125,24.5,15.5,0.225,Capmul_MCM,Tween_20,Ethanol,blank,91.36,0.756,-3.18,0,,
D2,2,7.5,20.2,19.8,0.975,Capryol_90,Tween_80,Transcutol_HP,blank,71.06,0.623,-2.28,0,,
D3,2,7.875,10.5,29.5,0.825,Capryol_90,Tween_80,Tween_80,blank,17.12,0.249,-1.96,0,,
D4,2,7.575,20.2,19.8,0.975,Capryol_90,Tween_80,Transcutol_HP,blank,76.96,0.549,-2.68,0,,
D5,2,7.5,12.5,27.5,1.725,Maisine_Oil,Tween_80,Propylene_Glycol,blank,131.3,0.297,-3.11,0,,
D1,3,10.125,24.5,15.5,0.225,Capmul_MCM,Tween_20,Ethanol,blank,42.67,1.0,-3.6,0,,
D2,3,7.5,20.2,19.8,0.975,Capryol_90,Tween_80,Transcutol_HP,blank,89.59,0.527,-1.99,0,,
D3,3,7.875,10.5,29.5,0.825,Capryol_90,Tween_80,Tween_80,blank,15.48,0.191,-2.3,0,,
D4,3,7.575,20.2,19.8,0.975,Capryol_90,Tween_80,Transcutol_HP,blank,61.32,0.509,-2.33,0,,
D5,3,7.5,12.5,27.5,1.725,Maisine_Oil,Tween_80,Propylene_Glycol,blank,131.73,0.296,-3.68,0,,
E1,1,7.875,15.0,25.0,2.025,Maisine_Oil,Tween_80,Propylene_Glycol,blank,10000.0,1.0,100.0,1,,
E2,1,8.325,18.5,21.5,2.025,Capryol_90,Tween_20,Transcutol_HP,blank,10.97,0.18,-4.01,0,,
E3,1,20.625,10.0,30.0,2.325,Oleic_Acid,Tween_20,Tween_80,blank,10000.0,1.0,100.0,1,,
